title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_year,genre_encoded,console_encoded,publisher_encoded
fallout 4,Ps4,Role-Playing,Bethesda Softworks,Bethesda Game Studios,8.6,8.48,2.91,0.27,3.97,1.34,2015.0,13,23,87
fifa 16,Ps4,Sports,Ea Sports,Ea Canada,8.5,8.22,1.15,0.07,5.77,1.23,2015.0,17,23,167
star wars battlefront (2015),Ps4,Shooter,Electronic Arts,Ea Dice,7.1,8.03,3.31,0.23,3.19,1.3,2015.0,15,23,178
fifa 13,Ps3,Sports,Ea Sports,Ea Canada,7.3,8.01,1.07,0.13,5.13,1.68,2012.0,17,22,167
the sims 3,Pc,Simulation,Electronic Arts,Ea Redwood Shores,8.5,7.96,1.01,0.0,6.46,0.5,2009.0,16,17,178
grand theft auto: liberty city stories,Psp,Action,Rockstar Games,Rockstar Leeds,8.8,7.72,2.9,0.24,2.83,1.74,2005.0,0,25,552
call of duty: advanced warfare,Ps4,Shooter,Activision,Sledgehammer Games,8.5,7.53,2.84,0.14,3.34,1.22,2014.0,15,23,23
call of duty: world at war,X360,Shooter,Activision,Treyarch,8.5,7.5,4.88,0.0,1.91,0.71,2008.0,15,35,23
call of duty: black ops 3,Xone,Shooter,Activision,Treyarch,7.3,7.37,4.63,0.02,2.04,0.68,2015.0,15,38,23
battlefield 3,X360,Shooter,Electronic Arts,Dice,8.5,7.35,4.47,0.06,2.12,0.69,2011.0,15,35,178
battlefield 1,Ps4,Shooter,Electronic Arts,Ea Dice,9.1,7.26,2.2,0.29,3.65,1.12,2016.0,15,23,178
battlefield 3,Ps3,Shooter,Electronic Arts,Dice,8.5,7.21,2.86,0.35,2.94,1.07,2011.0,15,22,178
need for speed underground,Ps2,Racing,Electronic Arts,Ea Black Box,8.6,7.2,3.27,0.08,2.83,1.02,2003.0,12,21,178
need for speed underground 2,Ps2,Racing,Electronic Arts,Ea Black Box,8.3,6.9,2.71,0.08,3.02,1.09,2004.0,12,21,178
just dance 4,Wii,Music,Ubisoft,Ubisoft,7.3,6.89,4.05,0.0,2.21,0.62,2012.0,8,31,685
medal of honor: frontline,Ps2,Shooter,Electronic Arts,Ea Los Angeles,9.0,6.83,2.93,0.17,2.75,0.99,2002.0,15,21,178
uncharted 2: among thieves,Ps3,Action,Sony Computer Entertainment,Naughty Dog,9.5,6.74,3.28,0.21,2.22,1.02,2009.0,0,22,585
call of duty 4: modern warfare,Ps3,Shooter,Activision,Infinity Ward,9.5,6.72,3.13,0.28,2.27,1.04,2007.0,15,22,23
fifa soccer 12,Ps3,Sports,Ea Sports,Ea Canada,9.2,6.65,0.84,0.11,4.33,1.37,2011.0,17,22,167
fifa 14,Ps3,Sports,Ea Sports,Ea Canada,7.3,6.61,0.79,0.07,4.77,0.98,2013.0,17,22,167
red dead redemption,Ps3,Action,Rockstar Games,Rockstar San Diego,9.5,6.57,2.82,0.17,2.58,1.0,2011.0,0,22,552
red dead redemption,X360,Action,Rockstar Games,Rockstar San Diego,9.5,6.5,3.77,0.09,2.03,0.6,2010.0,0,35,552
assassin's creed iii,Ps3,Action-Adventure,Ubisoft,Ubisoft Montreal,8.8,6.5,2.65,0.16,2.61,1.08,2012.0,1,22,685
the elder scrolls v: skyrim,Ps3,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.0,6.49,2.57,0.25,2.68,0.99,2011.0,13,22,87
minecraft,Ps4,Misc,Sony Computer Entertainment,Mojang,9.4,6.33,1.89,0.35,3.13,0.96,2014.0,6,23,585
fifa 15,Ps4,Sports,Ea Sports,Ea Canada,8.1,6.32,0.83,0.05,4.49,0.94,2014.0,17,23,167
driver,Ps,Action,Gt Interactive,Reflections Interactive,8.5,6.27,3.11,0.02,2.8,0.33,1999.0,0,20,265
call of duty: wwii,Xone,Shooter,Activision,Sledgehammer Games,7.3,6.23,3.75,0.0,1.91,0.57,2017.0,15,38,23
minecraft,Ps3,Misc,Sony Computer Entertainment America,Mojang,7.3,6.05,2.21,0.0,2.86,0.99,2014.0,6,22,586
red dead redemption 2,Xone,Action-Adventure,Rockstar Games,Rockstar Games,7.3,5.77,3.76,0.0,1.47,0.54,2018.0,1,38,552
destiny,Ps4,Shooter,Activision,Bungie,7.3,5.76,2.53,0.16,2.13,0.94,2014.0,15,23,23
tekken 2,Ps,Fighting,Namco,Namco,9.1,5.74,2.26,1.36,1.89,0.23,1996.0,5,20,435
lego star wars: the complete saga,Wii,Action,Lucasarts,Traveller'S Tales,8.0,5.66,3.57,0.0,1.57,0.52,2007.0,0,31,369
cooking mama,Ds,Simulation,Majesco,Office Create,6.6,5.66,3.09,0.07,1.92,0.58,2006.0,16,4,375
assassin's creed ii,Ps3,Action,Ubisoft,Ubisoft Montreal,9.0,5.57,2.54,0.21,1.95,0.86,2009.0,0,22,685
assassin's creed,X360,Action,Ubisoft,Ubisoft Montreal,8.2,5.55,3.28,0.07,1.64,0.56,2007.0,0,35,685
batman: arkham city,Ps3,Action,Warner Bros. Interactive,Rocksteady Studios,9.6,5.54,2.72,0.11,1.89,0.82,2011.0,0,22,717
forza motorsport 3,X360,Racing,Microsoft Game Studios,Turn 10 Studios,9.2,5.5,2.99,0.1,1.9,0.51,2009.0,12,35,410
call of duty: world at war,Ps3,Shooter,Activision,Treyarch,8.4,5.43,2.75,0.0,1.84,0.84,2008.0,15,22,23
minecraft,Xone,Misc,Microsoft Studios,Mojang,7.3,5.43,3.23,0.0,1.71,0.49,2014.0,6,38,411
crash bandicoot: the wrath of cortex,Ps2,Platform,Universal Interactive,Traveller'S Tales,6.9,5.42,2.07,0.24,2.29,0.82,2001.0,10,21,692
final fantasy xiii,Ps3,Role-Playing,Square Enix,Square Enix,8.0,5.35,1.75,1.87,1.23,0.51,2010.0,13,22,601
assassin's creed iii,X360,Action-Adventure,Ubisoft,Ubisoft Montreal,7.3,5.31,3.13,0.03,1.71,0.45,2012.0,1,35,685
assassin's creed ii,X360,Action,Ubisoft,Ubisoft Montreal,9.1,5.3,3.14,0.08,1.55,0.52,2009.0,0,35,685
tomb raider ii,Ps,Adventure,Eidos Interactive,Core Design Ltd.,7.6,5.24,2.3,0.2,2.46,0.28,1997.0,2,20,174
madden nfl 2004,Ps2,Sports,Ea Sports,Ea Tiburon,9.5,5.23,4.26,0.01,0.26,0.71,2003.0,17,21,167
call of duty: advanced warfare,Xone,Shooter,Activision,Sledgehammer Games,8.3,5.22,3.25,0.01,1.49,0.48,2014.0,15,38,23
medal of honor: rising sun,Ps2,Shooter,Electronic Arts,Ea Los Angeles,5.9,5.13,1.98,0.13,2.23,0.8,2003.0,15,21,178
battlefield 1,Xone,Shooter,Electronic Arts,Ea Dice,9.3,5.13,3.37,0.02,1.26,0.48,2016.0,15,38,178
microsoft flight simulator,Pc,Simulation,Microsoft,Microsoft,7.0,5.12,3.22,0.0,1.69,0.2,1996.0,16,17,409
guitar hero ii,Ps2,Misc,Redoctane,Harmonix Music Systems,9.2,5.12,3.81,0.0,0.63,0.68,2006.0,6,21,542
fifa 13,X360,Sports,Ea Sports,Ea Canada,7.3,5.11,1.1,0.03,3.49,0.5,2012.0,17,35,167
mario & sonic at the olympic games,Ds,Sports,Sega,Sega,7.0,5.1,1.63,0.44,2.46,0.57,2008.0,17,4,566
fable iii,X360,Role-Playing,Microsoft Game Studios,Lionhead Studios,7.8,5.1,3.59,0.05,1.09,0.37,2010.0,13,35,410
resident evil 5,Ps3,Action,Capcom,Capcom,8.6,5.1,1.96,1.08,1.42,0.64,2009.0,0,22,107
fifa soccer 11,Ps3,Sports,Ea Sports,Ea Canada,8.7,5.08,0.61,0.06,3.28,1.12,2010.0,17,22,167
grand theft auto: vice city stories,Psp,Action,Rockstar Games,Rockstar Leeds,8.4,5.08,1.7,0.16,2.03,1.19,2006.0,0,25,552
final fantasy xv,Ps4,Role-Playing,Square Enix,Square Enix,8.1,5.07,1.81,1.05,1.53,0.68,2016.0,13,23,601
fallout 4,Xone,Role-Playing,Bethesda Softworks,Bethesda Game Studios,8.4,5.03,2.94,0.02,1.62,0.45,2015.0,13,38,87
tony hawk's pro skater,Ps,Sports,Activision,Neversoft Entertainment,9.6,5.02,3.42,0.02,1.38,0.2,1999.0,17,20,23
warzone 2100,Ps,Strategy,Eidos Interactive,Pumpkin Studios,7.3,5.01,2.79,0.0,1.89,0.33,1999.0,18,20,174
guitar hero iii: legends of rock,Ps2,Misc,Redoctane,Budcat Creations,8.2,4.98,3.49,0.01,0.01,1.48,2007.0,6,21,542
uncharted: drake's fortune,Ps3,Action,Sony Computer Entertainment,Naughty Dog,8.7,4.97,2.32,0.12,1.73,0.8,2007.0,0,22,585
fallout 3,X360,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.0,4.96,3.41,0.09,0.99,0.46,2008.0,13,35,87
madden nfl 06,Ps2,Sports,Ea Sports,Ea Tiburon,9.1,4.91,3.98,0.01,0.26,0.66,2005.0,17,21,167
call of duty: black ops iiii,Xone,Shooter,Activision,Treyarch,7.3,4.85,3.27,0.0,1.12,0.46,2018.0,15,38,23
assassin's creed,Ps3,Action,Ubisoft,Ubisoft Montreal,8.2,4.83,1.91,0.09,2.01,0.82,2007.0,0,22,685
crash bandicoot n. sane trilogy,Ps4,Platform,Activision,Vicarious Visions,7.3,4.83,1.09,0.07,2.92,0.74,2017.0,10,23,23
call of duty: infinite warfare,Xone,Shooter,Activision,Infinity Ward,7.3,4.79,2.91,0.0,1.44,0.44,2016.0,15,38,23
crash team racing,Ps,Racing,Sony Computer Entertainment,Naughty Dog,9.2,4.79,2.57,0.44,1.57,0.21,1999.0,12,20,585
lego star wars: the complete saga,Ds,Action,Lucasarts,Traveller'S Tales,7.8,4.77,2.83,0.0,1.49,0.45,2007.0,0,4,369
batman: arkham city,X360,Action,Warner Bros. Interactive,Rocksteady Studios,9.5,4.75,2.99,0.04,1.28,0.44,2011.0,0,35,717
driver 2,Ps,Action,Atari,Reflections Interactive,7.0,4.73,2.36,0.02,2.1,0.25,2000.0,0,20,68
the simpsons: hit & run,Ps2,Racing,Vu Games,Radical Entertainment,7.7,4.7,1.73,0.0,2.19,0.79,2003.0,12,21,714
tony hawk's pro skater 2,Ps,Sports,Activision,Neversoft Entertainment,9.3,4.68,3.05,0.02,1.41,0.2,2000.0,17,20,23
the lord of the rings: the two towers,Ps2,Action,Electronic Arts,Stormfront Studios,8.3,4.67,1.94,0.08,1.95,0.7,2002.0,0,21,178
tomb raider,Ps,Action,Eidos Interactive,Core Design Ltd.,8.9,4.63,2.29,0.13,1.97,0.24,1996.0,0,20,174
forza motorsport 4,X360,Racing,Microsoft Studios,Turn 10 Studio,9.1,4.6,2.08,0.06,1.98,0.49,2011.0,12,35,411
guitar hero iii: legends of rock,Wii,Misc,Redoctane,Vicarious Visions,8.6,4.6,3.04,0.0,1.12,0.44,2007.0,6,31,542
fifa 15,Ps3,Sports,Ea Sports,Ea Canada,6.9,4.56,0.59,0.04,3.25,0.68,2014.0,17,22,167
mario & sonic at the olympic winter games,Wii,Sports,Sega,Sega,6.8,4.54,1.87,0.22,1.97,0.48,2009.0,17,31,566
overwatch,Ps4,Shooter,Blizzard Entertainment,Blizzard Entertainment,8.8,4.54,1.84,0.17,1.8,0.73,2016.0,15,23,97
guitar hero iii: legends of rock,X360,Misc,Redoctane,Neversoft,8.7,4.53,3.19,0.01,0.91,0.42,2007.0,6,35,542
star wars battlefront ii (2017),Ps4,Shooter,Electronic Arts,Ea Dice,7.3,4.53,1.7,0.12,1.99,0.73,2017.0,15,23,178
madden nfl 2005,Ps2,Sports,Ea Sports,Ea Tiburon,9.5,4.53,4.18,0.01,0.26,0.08,2004.0,17,21,167
spider-man: the movie,Ps2,Action,Activision,Treyarch,8.2,4.48,2.71,0.03,1.51,0.23,2002.0,0,21,23
the elder scrolls iv: oblivion,X360,Role-Playing,Take-Two Interactive,Bethesda Softworks,9.2,4.47,2.89,0.13,1.03,0.41,2009.0,13,35,631
tony hawk's pro skater 3,Ps2,Sports,Activision,Neversoft Entertainment,9.1,4.41,2.66,0.01,1.29,0.46,2001.0,17,21,23
winning eleven: pro evolution soccer 2007,Ps2,Sports,Konami,Konami Computer Entertainment Tokyo,8.8,4.39,0.1,1.05,2.39,0.86,2007.0,17,21,353
tom clancy's the division,Ps4,Shooter,Ubisoft,Massive Entertainment,7.3,4.37,1.49,0.16,2.04,0.69,2016.0,15,23,685
need for speed: most wanted,Ps2,Racing,Electronic Arts,Ea Canada,8.6,4.37,2.03,0.08,1.79,0.47,2005.0,12,21,178
michael jackson: the experience,Wii,Misc,Ubisoft,Ubisoft Montpellier,5.6,4.37,2.64,0.01,1.33,0.39,2010.0,6,31,685
tom clancy's rainbow six: siege,Ps4,Shooter,Ubisoft,Ubisoft Montreal,7.3,4.36,1.29,0.36,2.06,0.64,2015.0,15,23,685
call of duty: advanced warfare,X360,Shooter,Activision,High Moon Studios,9.1,4.34,2.81,0.0,1.13,0.41,2014.0,15,35,23
watch dogs,Ps4,Action-Adventure,Ubisoft,Ubisoft Montreal,7.3,4.32,1.4,0.11,2.13,0.68,2014.0,1,23,685
asteroids,2600,Shooter,Atari,Atari,7.3,4.31,4.0,0.0,0.26,0.05,1981.0,15,0,68
batman: arkham asylum,Ps3,Action,Eidos Interactive,Rocksteady Studios,9.0,4.28,2.26,0.07,1.33,0.63,2009.0,0,22,174
call of duty: advanced warfare,Ps3,Shooter,Activision,High Moon Studios,9.1,4.27,1.59,0.2,1.81,0.67,2014.0,15,22,23
namco museum,Gba,Misc,Namco,Mass Media,7.3,4.24,3.0,0.05,1.11,0.07,2001.0,6,6,435
assassin's creed: revelations,Ps3,Action,Ubisoft,Ubisoft Montreal,8.8,4.23,1.41,0.1,2.03,0.69,2011.0,0,22,685
assassin's creed: revelations,X360,Action,Ubisoft,Ubisoft Montreal,7.9,4.22,2.28,0.04,1.47,0.44,2011.0,0,35,685
fifa soccer 06,Ps2,Sports,Ea Sports,Ea Canada,8.4,4.21,0.78,0.04,2.55,0.84,2005.0,17,21,167
street fighter iv,Ps3,Fighting,Capcom,Capcom / Dimps Corporation,9.3,4.19,2.04,0.59,1.05,0.52,2009.0,5,22,107
fifa soccer 12,X360,Sports,Ea Sports,Ea Canada,9.2,4.18,0.85,0.02,2.79,0.52,2011.0,17,35,167
call of duty: ghosts,Ps4,Shooter,Activision,Infinity Ward,7.5,4.17,1.79,0.05,1.64,0.69,2013.0,15,23,23
teenage mutant ninja turtles,Nes,Platform,Ultra Games,Konami,5.9,4.17,3.38,0.31,0.44,0.04,1989.0,10,13,688
frogger,Ps,Action,Hasbro Interactive,Millenium Interactive,7.3,4.16,3.79,0.0,0.27,0.11,1997.0,0,20,278
fifa 14,X360,Sports,Ea Sports,Ea Canada,7.3,4.15,0.94,0.01,2.92,0.29,2013.0,17,35,167
star wars battlefront (2015),Xone,Shooter,Electronic Arts,Ea Dice,6.9,4.15,2.49,0.02,1.26,0.38,2015.0,15,38,178
madden nfl 2003,Ps2,Sports,Ea Sports,Ea Tiburon,9.4,4.14,3.36,0.01,0.21,0.56,2002.0,17,21,167
assassin's creed: unity,Ps4,Action,Ubisoft,Ubisoft Montreal,7.3,4.14,1.25,0.09,2.16,0.65,2014.0,0,23,685
destiny 2,Ps4,Shooter,Activision,Bungie,7.3,4.14,1.92,0.1,1.44,0.69,2017.0,15,23,23
fifa 07 soccer,Ps2,Sports,Ea Sports,Team Fusion,8.4,4.11,0.71,0.03,2.48,0.89,2006.0,17,21,167
batman: arkham knight,Ps4,Action,Warner Bros. Interactive,Rocksteady Studios,8.1,4.11,1.65,0.11,1.68,0.66,2015.0,0,23,717
the sims 4,Pc,Simulation,Electronic Arts,Maxis,7.0,4.1,1.2,0.0,2.6,0.3,2014.0,16,17,178
fallout: new vegas,X360,Role-Playing,Bethesda Softworks,Obsidian Entertainment,8.2,4.08,2.67,0.04,1.03,0.34,2010.0,13,35,87
carnival games,Wii,Misc,Global Star Software,Cat Daddy Games,4.2,4.06,2.12,0.05,1.47,0.42,2007.0,6,31,252
far cry 4,Ps4,Shooter,Ubisoft,Ubisoft Montreal,8.4,4.06,1.18,0.11,2.14,0.63,2014.0,15,23,685
assassin's creed origins,Ps4,Action,Ubisoft,Ubisoft Montreal,7.3,4.06,1.22,0.11,2.11,0.63,2017.0,0,23,685
world soccer winning eleven 9,Ps2,Sports,Konami,Konami Computer Entertainment Tokyo,8.9,4.06,0.12,0.9,2.26,0.77,2006.0,17,21,353
forza motorsport 2,X360,Racing,Microsoft Game Studios,Turn 10 Studios,9.1,4.05,2.35,0.03,1.27,0.41,2007.0,12,35,410
namco museum vol.3,Ps,Misc,Namco,Namco,7.3,4.05,2.28,0.16,1.55,0.06,1997.0,6,20,435
tekken tag tournament,Ps2,Fighting,Namco,Namco,8.7,4.05,1.68,0.51,1.51,0.35,2000.0,5,21,435
fallout 3,Ps3,Role-Playing,Bethesda Softworks,Bethesda Game Studios,8.8,4.0,2.18,0.07,1.15,0.61,2008.0,13,22,87
the elder scrolls v: skyrim,Pc,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.2,3.99,1.18,0.0,2.25,0.56,2011.0,13,17,87
nba 2k16,Ps4,Sports,2K Sports,Visual Concepts,8.7,3.98,2.56,0.05,0.66,0.71,2015.0,17,23,7
namco museum: 50th anniversary,Ps2,Misc,Namco,Digital Eclipse,7.3,3.98,2.08,0.0,1.35,0.54,2005.0,6,21,435
far cry 5,Ps4,Action,Ubisoft,Ubisoft,7.9,3.95,1.44,0.15,1.73,0.62,2018.0,0,23,685
battlefield 4,Ps4,Shooter,Electronic Arts,Ea Dice,8.3,3.94,1.4,0.19,1.74,0.62,2013.0,15,23,178
assassin's creed iv: black flag,Ps3,Action-Adventure,Ubisoft,Ubisoft Montreal,8.7,3.94,1.34,0.13,1.86,0.62,2013.0,1,22,685
tony hawk's underground,Ps2,Sports,Activision,Neversoft Entertainment,8.7,3.9,2.29,0.01,1.17,0.42,2003.0,17,21,23
just dance 2014,Wii,Music,Ubisoft,Ubisoft Paris,7.4,3.89,1.91,0.0,1.66,0.33,2013.0,8,31,685
sports champions,Ps3,Sports,Sony Computer Entertainment,Sce San Diego Studio,7.6,3.88,2.15,0.1,1.13,0.5,2010.0,17,22,585
world soccer winning eleven 8 international,Ps2,Sports,Konami,Konami Computer Entertainment Tokyo,9.3,3.85,0.16,1.12,1.89,0.68,2005.0,17,21,353
namco museum vol.1,Ps,Misc,Namco,Namco,7.3,3.84,2.12,0.22,1.44,0.06,1996.0,6,20,435
lego indiana jones: the original adventures,X360,Adventure,Lucasarts,Traveller'S Tales,7.5,3.76,2.4,0.0,1.01,0.36,2008.0,2,35,369
the sims: unleashed,Pc,Simulation,Electronic Arts,Maxis,7.3,3.76,2.03,0.0,1.56,0.17,2002.0,16,17,178
ratchet & clank: size matters,Psp,Platform,Sony Computer Entertainment,High Impact Games,8.5,3.75,1.4,0.1,1.4,0.86,2007.0,10,25,585
fifa 17,Xone,Sports,Electronic Arts,Ea Canada,8.8,3.71,1.04,0.0,2.4,0.27,2016.0,17,38,178
fifa soccer 2005,Ps2,Sports,Ea Sports,Ea Canada,8.4,3.7,0.58,0.04,2.48,0.59,2004.0,17,21,167
tony hawk's pro skater 4,Ps2,Sports,Activision,Neversoft Entertainment,9.6,3.67,2.13,0.01,1.18,0.35,2002.0,17,21,23
mysims,Ds,Simulation,Electronic Arts,Ea Redwood Shores,6.7,3.66,1.58,0.08,1.6,0.4,2007.0,16,4,178
midnight club 3: dub edition,Psp,Racing,Rockstar Games,Rockstar Leeds,7.2,3.66,1.65,0.0,1.22,0.79,2005.0,12,25,552
socom: u.s. navy seals,Ps2,Shooter,Sony Computer Entertainment,Zipper Interactive,8.0,3.65,2.53,0.06,0.81,0.24,2002.0,15,21,585
battlefield 4,Ps3,Shooter,Electronic Arts,Ea Dice,8.7,3.64,1.31,0.27,1.5,0.55,2013.0,15,22,178
jak and daxter: the precursor legacy,Ps2,Platform,Sony Computer Entertainment,Naughty Dog,9.0,3.64,2.08,0.15,1.09,0.33,2001.0,10,21,585
pro evolution soccer 2008,Ps2,Sports,Konami,Konami,8.2,3.63,0.05,0.64,0.0,2.93,2008.0,17,21,353
fifa soccer 10,Ps3,Sports,Ea Sports,Ea Canada,9.0,3.63,0.6,0.05,2.46,0.52,2009.0,17,22,167
guitar hero: world tour,Wii,Misc,Activision,Vicarious Visions,8.4,3.62,2.32,0.0,0.96,0.34,2008.0,6,31,23
the simpsons: road rage,Ps2,Racing,Electronic Arts,Radical Entertainment,6.1,3.61,2.02,0.0,1.17,0.42,2001.0,12,21,178
star wars battlefront,Ps2,Shooter,Lucasarts,Pandemic Studios,8.1,3.61,1.93,0.03,1.22,0.44,2004.0,15,21,369
doom ii,Pc,Shooter,Gt Interactive,Id Software,9.3,3.61,2.05,0.0,1.4,0.16,1994.0,15,17,265
assassin's creed syndicate,Ps4,Action,Ubisoft,Ubisoft Quebec,8.6,3.6,0.9,0.08,2.06,0.55,2015.0,0,23,685
star wars battlefront ii,Ps2,Shooter,Lucasarts,Pandemic Studios,8.5,3.59,2.18,0.03,1.02,0.37,2005.0,15,21,369
assassin's creed: unity,Xone,Action,Ubisoft,Ubisoft Montreal,7.3,3.58,2.34,0.0,0.9,0.34,2014.0,0,38,685
wwf smackdown!,Ps,Fighting,Thq,Yuke'S,7.3,3.58,2.01,0.06,1.35,0.16,2000.0,5,20,657
cooking mama 2: dinner with friends,Ds,Simulation,Majesco,Office Create,6.9,3.58,1.6,0.1,1.49,0.39,2007.0,16,4,375
the getaway,Ps2,Action,Sony Computer Entertainment,Team Soho,7.7,3.54,1.23,0.05,1.77,0.49,2003.0,0,21,585
tomb raider iii: adventures of lara croft,Ps,Adventure,Eidos Interactive,Core Design Ltd.,8.2,3.54,1.66,0.12,1.58,0.18,1998.0,2,20,174
grand theft auto: liberty city stories,Ps2,Action,Rockstar Games,Rockstar Leeds,8.3,3.54,1.56,0.07,1.4,0.5,2006.0,0,21,552
battlefield 4,X360,Shooter,Electronic Arts,Ea Dice,8.7,3.54,2.16,0.02,1.05,0.32,2013.0,15,35,178
batman: arkham asylum,X360,Action,Eidos Interactive,Rocksteady Studios,9.1,3.54,2.24,0.02,0.95,0.33,2009.0,0,35,174
resident evil 5,X360,Action,Capcom,Capcom,8.6,3.53,2.13,0.12,0.93,0.34,2009.0,0,35,107
assassin's creed: brotherhood,X360,Action,Ubisoft,Ubisoft Montreal,9.1,3.53,2.87,0.03,0.39,0.25,2010.0,0,35,685
lego star wars: the video game,Ps2,Action,Eidos Interactive,Traveller'S Tales,7.9,3.53,1.98,0.01,1.14,0.41,2005.0,0,21,174
james bond 007: agent under fire,Ps2,Shooter,Electronic Arts,Ea Redwood Shores,7.3,3.53,1.9,0.1,1.13,0.41,2001.0,15,21,178
rugrats in paris: the movie,Ps,Action,Thq,Avalanche Software,7.3,3.52,1.96,0.0,1.33,0.23,2000.0,0,20,657
fifa soccer 11,X360,Sports,Ea Sports,Ea Canada,8.7,3.52,0.71,0.02,2.39,0.4,2010.0,17,35,167
nba 2k17,Ps4,Sports,2K Sports,Visual Concepts,9.0,3.52,2.28,0.03,0.59,0.63,2016.0,17,23,7
mortal kombat x,Ps4,Fighting,Warner Bros. Interactive Entertainment,Netherrealm Studios,7.3,3.49,1.94,0.0,0.94,0.61,2015.0,5,23,718
fifa soccer 2004,Ps2,Sports,Ea Sports,Ea Canada,8.0,3.49,0.59,0.04,2.36,0.51,2003.0,17,21,167
borderlands,X360,Shooter,2K Games,Gearbox Software,8.3,3.48,2.43,0.03,0.72,0.3,2009.0,15,35,5
